Año;DEPARTAMENTO;PROVINCIA;CENTRO POBLADO;COBERTURA RADIO;FRECUENCIA DE RADIO;INGRESO ANUAL;GASTOS ANUALES;VIA DE ACCESO;MEDIO DE TRANSPORTE
2023;AMAZONAS;CHACHAPOYAS;LA MORADA;2; ; ;13000; ; 
2023;AMAZONAS;BAGUA;IMACITA;2; ; ; ; ;MOTO TAXI
2023;AMAZONAS;BAGUA;EL MUYO;1;LD ESTEREO; ;2700; ;MOTO LINEAL
2023;AMAZONAS;BAGUA;LA LIBERTAD;1;RADIO PROGRAMAS DEL PERU; ; ; ;MOTO TAXI
2023;AMAZONAS;BAGUA;TUTUMBEROS; ; ; ; ; ; 
2023;AMAZONAS;BAGUA;ALENYA;1;LD STEREO 99.9 FM; ; ; ;MOTO LINEAL
2023;AMAZONAS;BAGUA;COPALLIN DE ARAMANGO;2; ; ;1100; ; 
2023;AMAZONAS;BAGUA;SAN ISIDRO;1;L.D STEREO 99.9 FM; ; ; ; 
2023;AMAZONAS;BAGUA;NUMPARQUE;2; ; ;2000; ;MOTO TAXI
2023;AMAZONAS;BAGUA;ESPITAL;2; ;10000;10000; ; 
2023;AMAZONAS;BAGUA;ARRAYAN;1;LD STEREO 99.9 FM;1700; ; ;MOTOCARGA
2023;AMAZONAS;BAGUA;EL PORVENIR;2; ; ;1500; ; 
2023;AMAZONAS;BAGUA;PECA PALACIOS;2; ;10000;13400; ;MOTOCARGA
2023;AMAZONAS;BAGUA;TOMAQUE;1;RADIO LD STERIO;10000;21000; ;MOTO TAXI
2023;AMAZONAS;BAGUA;CHIPE CUZU;2; ; ; ;VIA FLUVIAL; 
2023;AMAZONAS;BAGUA;SAN FRANCISCO;1;LD ESTEREO 99.9 FM; ; ; ;MOTO TAXI
2023;AMAZONAS;BAGUA;LLUHUANA;2; ; ; ; ;MOTO TAXI
2023;AMAZONAS;BONGARA;LA ESPERANZA;1;RADIO VICTORIA; ; ; ;COMBI
2023;AMAZONAS;BONGARA;BUENOS AIRES;2; ; ;6000; ; 
2023;AMAZONAS;BONGARA;EL PROGRESO;2; ; ;220; ;MOTO TAXI
2023;AMAZONAS;CONDORCANQUI;CIRO ALEGRIA;1;AW 97.1; ; ;VIA FLUVIAL; 
2023;AMAZONAS;CONDORCANQUI;YUTUPIS; ; ; ; ; ; 
2023;AMAZONAS;CONDORCANQUI;NUEVO SEASMI;2; ; ; ; ;MOTO TAXI
2023;AMAZONAS;CONDORCANQUI;CANDUNGOS; ; ; ; ; ; 
2023;AMAZONAS;CONDORCANQUI;KIGKIS;1;RADIO AW 106.A FM;5000;5000; ; 
2023;AMAZONAS;CONDORCANQUI;ISLA GRANDE; ; ; ; ; ; 
2023;AMAZONAS;CONDORCANQUI;KAGKAS; ; ; ; ; ; 
2023;AMAZONAS;CONDORCANQUI;SHAIM;2; ; ; ;VIA FLUVIAL;PEQUE PEQUE
2023;AMAZONAS;CONDORCANQUI;KUSU KUBAIN;2; ; ; ;VIA FLUVIAL;PEQUE PEQUE
2023;AMAZONAS;CONDORCANQUI;TAYUNTSA;1;AW 97.1;4000; ; ; 
2023;AMAZONAS;LUYA;QUISPE;2; ; ; ; ;MOTO LINEAL
2023;AMAZONAS;LUYA;SAN ANTONIO DE LLACTAPAMPA;2; ; ; ; ; 
2023;AMAZONAS;LUYA;SAN SALVADOR;2; ; ;500; ; 
2023;AMAZONAS;LUYA;COCOCHO;1;BENDICION CRISTIANA 105.7 FM; ; ; ;MOTO LINEAL
2023;AMAZONAS;LUYA;GUADALUPE;1;PROGRAMAS DEL PERU; ; ; ; 
2023;AMAZONAS;LUYA;PIRCAPAMPA; ; ; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;MIRAFLORES;1;RADIO CALIDAD 98.9 FM; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;VISTA ALEGRE;1;RADIO TENORIO DEL PERÚ 104.9; ; ; ;COMBI
2023;AMAZONAS;UTCUBAMBA;HUALANGO;1;STEREO TENORIO 104.9 FM; ; ; ;COMBI
2023;AMAZONAS;UTCUBAMBA;SAN JUAN DE LA LIBERTAD;2; ; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;EL PALTO;2; ; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;ROBLEPAMPA;2; ; ;3470; ;MOTOCARGA
2023;AMAZONAS;UTCUBAMBA;TOMOCHO;2; ;27600;27600; ; 
2023;AMAZONAS;UTCUBAMBA;TAMBOLIC; ; ; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;BUENA VISTA;1;RADIO CANDELA 107.3 FM;27600;27600; ; 
2023;AMAZONAS;UTCUBAMBA;JOSE OLAYA;1;RADIO UTCUBAMBA; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;MAÑUMAL;2; ;27600;27600; ; 
2023;AMAZONAS;UTCUBAMBA;ALTO AMAZONAS;1;RADIO UTCUBAMBA 96.9 FM; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;EL RON;1;RADIO UTCUBAMBA 96.9; ; ; ; 
2023;AMAZONAS;UTCUBAMBA;MISQUIYACU ALTO;1;UTCUBAMBA 96.9; ; ; ;MOTO TAXI
